序号,考点词,音标,词性,中文意思,真题同义替换
58,motivate,ˈməʊtɪveɪt,v,鼓励，促进,encourage; stimulate; keep active; boost; help
59,improve,ɪmˈpruːv,v,提升,develop; promote
60,overlook,ˌəʊvəˈlʊk,v,低估,underestimate; neglect
61,omit,əˈmɪt,v,省掉,leave out; cancel
62,find,faɪnd,v,发现,discover; detect; spot; see; sight
63,opportunity,ˌɒpəˈtjuːnətɪ,n,机会,chance; odds; hope
64,difficult,ˈdɪfɪkəlt,adj,困难的,problem; hard; not easy; not simple
65,prevent,prɪˈvent,v,阻止，避免,avoid; stop; escape; forbid; out of bounds
66,misunderstand,ˌmɪsʌndəˈstænd,v,理解错误,wrong idea; confuse; puzzle; perplex
67,try hard,ˌtraɪ ˈhɑːd,,努力,make efforts; hard working
68,feedback,ˈfiːdbæk,n,反馈,response; reaction; reply
69,affect,əˈfekt,v,影响,impact; influence; effect
70,analysis,əˈnæləsɪs,n,分析，认知,perspective; understand; perceive; know
71,result,rɪˈzʌlt,n,结果,outcome; consequence; conclusion
72,handle,ˈhændl,v,处理,deal with; cope with; figure out; work out; take care of
73,support,səˈpɔːt,n,帮助,help; assistance; aid; tip
74,ideal,aɪˈdiːəl,adj,完美的,perfect
75,rigorous,ˈrɪgərəs,adj,严格的,strict; demanding
76,restrict,rɪˈstrɪkt,v,限制,limit; not permit
77,similar,ˈsɪmələ(r),adj,相似的,like; compare
78,particular,pəˈtɪkjələ(r),adj,特别的,special; in particular; especially
79,copy,ˈkɒpɪ,v,重复,repeat; reproduce
80,statistics,stəˈtɪstɪks,n,统计学,data; figure
81,maximum,ˈmæksɪməm,n,最大值,up to; at most
82,minimum,ˈmɪnɪməm,n,最小值,at least
83,initial,ɪˈnɪʃl,adj,最初的，开始的,at first; start; begin; early on; premiere
84,limited,ˈlɪmɪtɪd,adj,少量的,just a few; a little; small; a small number of; not many; miniature
85,shorten,ˈʃɔːtn,v,截短,cut down
86,decrease,dɪˈkriːs,v,降低,lower; reduce; fewer; drop; fall; decrease
87,lack,læk,n./v,缺乏,shortage; insufficient; fewer; not enough
88,large,lɑːdʒ,adj,大的,big; huge
89,amount of,əˈmaʊnt əv,,大量,lots of; large quantities of; loads of
90,majority,məˈdʒɒrətɪ,n,绝大部分,most
91,double,ˈdʌbl,v,两倍,twice
92,more than,mɔː ðən,,超过,over; beyond; exceed; above
93,at present,æt ˈpreznt,,当前,already; existing; currently; nowadays
94,update,ˌʌpˈdeɪt,v,更新,upgrade; up to date; more current; modern
95,newest,ˈnjuːɪst,adj,最新的,latest
96,soon,suːn,adv,将来,later; in the future
97,out of date,ˌaʊt əv ˈdeɪt,,过时的,old fashioned
98,ancient,ˈeɪnʃənt,adj,古老的，过去的,medieval; in the past; once; historical; old; ancient; former
99,temporary,ˈtemprərɪ,adj,暂时的,a short time
100,deadline,ˈdedlaɪn,n,截止时间,time pressure; on time
101,permanent,ˈpɜːmənənt,adj,长久的,long-lasting
102,more often,ˌmɔːr ˈɒfn,,频繁,frequent
103,annual,ˈænjʊəl,adj,年度的,every year
104,every month,ˌevri ˈmʌnθ,,每个月,monthly; four weeks
105,every day,ˌevri ˈdeɪ,,每天,daily
106,classify,ˈklæsɪfaɪ,v,分类,category; sort; type; kind
107,entrance,ˈentrəns,n,入口,access; main gate; door
108,behind,bɪˈhaɪnd,prep,在……后面,back; rear
109,below,bɪˈləʊ,prep,在……下面,under
110,beside,bɪˈsaɪd,prep,在……旁边,next to; near; border
111,available,əˈveɪləbl,adj,可用的,have; accessible; not close; open
112,boring,ˈbɔːrɪŋ,adj,无趣的,not interesting; boredom
113,trend,trend,n,倾向,possibility; likely; tendency
114,risky,ˈrɪskɪ,adj,危险的,dangerous; not safe; hazard
115,poisonous,ˈpɔɪzənəs,adj,有毒的,toxic; dangerous
116,warning,ˈwɔːnɪŋ,n,警报,alarm; alert
117,care,keə(r),v,谨慎,caution
118,steal,stiːl,v,偷窃,theft
119,protect,prəˈtekt,v,保护,safeguard; shelter; preserve
120,injury,ˈɪndʒərɪ,n,伤害,harm; hurt; damage; dangerous; frighten
121,military,ˈmɪlətrɪ,adj,军事的,battle; weapon; not peaceful
122,tactics,ˈtæktɪks,n,策略,strategy; method
123,rely on,rɪˈlaɪ ɒn,,依靠,depend on; count on
124,travel,ˈtrævl,n,旅行,tourism; trip; passenger; flight
125,space travel,ˈspeɪs trævl,,空间旅行,aircraft; rocket; satellite
126,transport,ˈtrænspɔːt,n,交通,vehicle; bus; train; boat; ship; ferry; subway
127,specific,spəˈsɪfɪk,adj,具体的,detail; particular; example
128,request,rɪˈkwest,v,询问,ask for; inquiry
129,clear,klɪə(r),adj,清晰地,definitive
130,freeze,ˈfriːz,v,结冰,froze; ice; chill; cold
131,organization,ˌɔːgənaɪˈzeɪʃn,n,公司,business; company; corporation structure
132,organize,ˈɔːgənaɪz,v,组织，安排,arrange; plan
133,produce,prəˈdjuːs,v,产生,generate; make
134,administer,ədˈmɪnɪstə(r),v,管理，治理,manage
135,occupation,ˌɒkjʊˈpeɪʃn,n,职位,profession; job
136,all ages,ˌɔːl ˈeɪdʒɪz,,所有年龄的人,young and old
137,youth,juːθ,n,年轻,young; boy; child; teenager
138,mate,meɪt,n,伙伴,friend; peer
139,staff,stɑːf,n,员工,recruit; worker; employee
140,sale,seɪl,v,销售,retail
141,cheap,tʃiːp,adj,便宜的,low price
142,discount,ˈdɪskaʊnt,n,打折,10% off; on sale
143,round,raʊnd,n,圆,curve; circle
144,order,ˈɔːdə(r),n,顺序,sequence
145,renovate,ˈrenəveɪt,v,修理；翻新,fix; repair
146,alone,əˈləʊn,adj,单独的,single; by themselves
147,hospitality,ˌhɒspɪˈtælətɪ,n,招待,treatment; prepare refreshment
148,shape like,ˈʃeɪp laɪk,,像,look like; seem
149,depress,dɪˈpres,v,失望，使沮丧,disappoint; dispirit; frustrate; discourage
150,well-known,ˌwelˈnəʊn,adj,有名的,famous; fame
151,specialize in,ˈspeʃəlaɪz ɪn,,专注于,focus; emphasis; concentrate
152,part,pɑːt,n,部分,component; proportion; percent; section; element; ingredient
153,typical,ˈtɪpɪkl,adj,典型的；普通的,representative; common; average
154,uncommon,ʌnˈkɒmən,adj,特别的,special; unique; unusual; rare
155,accurately,ˈækjərətlɪ,adv,精确地,precisely
156,expand,ɪkˈspænd,v,扩建；扩张,add; enlarge; increase spaces
157,climb,klaɪm,v,上升,go up; increase
158,enhance,ɪnˈhɑːns,v,增强,improve; increase
159,power,ˈpaʊə(r),n,力量,force; energy
160,fuel,ˈfjuːəl,n,燃料,coal; firewood; petrol; gas
161,refurbish,ˌriːˈfɜːbɪʃ,v,重新装修,redecorate
162,preference,ˈprefrəns,n,偏爱；优先权,like; priority
163,trust,trʌst,v,信任,less suspicious; believe
164,computer,kəmˈpjuːtə(r),n,电脑,laptop
165,handy,ˈhændɪ,adj,方便的,convenient
166,demonstrate,ˈdemənstreɪt,v,展示,display; show; exhibition
167,important,ɪmˈpɔːtnt,adj,主要的,significant; major; main; primary
168,straightforward,ˌstreɪtˈfɔːwəd,adj,简单直接的,direct; first-hand; simple
169,disused,ˌdɪsˈjuːzd,adj,废弃的,empty; abandoned
170,donate,dəʊˈneɪt,v,捐赠,charity; give
171,work,wɜːk,n,作品,item
172,turn,tɜːn,v,转动,switch
173,information,ˌɪnfəˈmeɪʃn,n,信息,details; data; graph; chart
174,visualize,ˈvɪʒʊəlaɪz,v,想象,imagine
175,repetition,ˌrepəˈtɪʃn,n,重复,over and over
176,poor,pɔː(r),adj,弱的,weak
177,durable,ˈdjʊərəbl,adj,耐用的,stronger; longer
178,pollutant,pəˈluːtənt,n,污染物,contaminant
179,continue,kənˈtɪnjuː,v,继续,ahead; go on; keep doing
